Time,TMP
2019120200,19.0
2019120201,16.7
2019120202,17.0
2019120203,16.0
2019120204,14.2
2019120205,15.0
2019120206,15.0
2019120207,12.0
2019120208,13.0
2019120209,13.0
2019120210,10.2
2019120211,12.0
2019120212,11.0
2019120213,9.1
2019120214,11.0
2019120215,11.0
2019120216,9.0
2019120217,13.0
2019120218,15.0
2019120219,16.0
2019120220,18.0
2019120221,19.0
2019120222,18.0
2019120223,20.0
2019120300,18.8
2019120301,17.5
2019120302,17.0
2019120303,16.0
2019120304,10.2
2019120305,14.0
2019120306,14.0
2019120307,9.7
2019120308,13.0
2019120309,13.0
2019120310,9.7
2019120311,12.0
2019120312,12.0
2019120313,12.0
2019120314,12.0
2019120315,12.0
2019120316,10.7
2019120317,15.0
2019120318,16.0
2019120319,16.7
2019120320,19.0
2019120321,21.0
2019120322,19.5
2019120323,22.0
2019120400,22.0
2019120401,19.2
2019120402,19.0
2019120403,18.0
2019120404,12.5
2019120405,16.0
2019120406,16.0
2019120407,11.1
2019120408,16.0
2019120409,14.5
2019120410,13.0
2019120411,14.0
2019120412,14.0
2019120413,13.2
2019120414,14.0
2019120415,14.0
2019120416,13.2
2019120417,16.0
2019120418,17.0
2019120419,16.7
2019120420,18.0
2019120421,17.9
2019120422,17.7
2019120423,19.0
2019120500,19.0
2019120501,17.1
2019120502,18.0
2019120503,18.0
2019120504,13.6
2019120505,17.0
2019120506,17.0
2019120507,13.7
2019120508,17.0
2019120509,17.0
2019120510,14.7
2019120511,15.0
2019120512,15.0
2019120513,14.0
2019120514,14.0
2019120515,14.0
2019120516,12.6
2019120517,14.3
2019120518,16.0
2019120519,16.7
2019120520,19.0
2019120521,20.0
2019120522,18.7
2019120523,20.0
2019120600,20.0
2019120601,18.0
2019120602,18.0
2019120603,17.0
2019120604,10.7
2019120605,15.0
2019120606,14.0
2019120607,11.6
2019120608,12.3
2019120609,13.0
2019120610,11.0
2019120611,12.0
2019120612,10.8
2019120613,9.5
2019120614,9.7
2019120615,10.0
2019120616,10.2
2019120617,14.0
2019120618,15.0
2019120619,16.5
2019120620,18.0
2019120621,19.0
2019120622,20.0
2019120623,21.0
2019120700,21.0
2019120701,18.7
2019120702,18.0
2019120703,16.0
2019120704,11.5
2019120705,12.8
2019120706,14.0
2019120707,10.0
2019120708,13.0
2019120709,12.0
2019120710,9.1
2019120711,11.0
2019120712,10.0
2019120713,10.0
2019120714,10.0
2019120715,10.0
2019120716,10.2
2019120717,12.6
2019120718,15.0
2019120719,16.2
2019120720,18.0
2019120721,19.0
2019120722,18.7
2019120723,20.0
2019120800,20.0
2019120801,17.7
2019120802,18.0
2019120803,18.0
2019120804,16.0
2019120805,14.0
2019120806,14.0
2019120807,13.5
2019120808,13.0
2019120809,12.0
2019120810,7.5
2019120811,9.3
2019120812,11.0
2019120813,6.7
2019120814,11.0
2019120815,11.0
2019120816,8.5
2019120817,14.0
2019120818,14.0
2019120819,16.0
2019120820,19.0
2019120821,20.0
2019120822,19.2
2019120823,21.0